Wall time,Step,Value
1522173044.370477,0,3.69602108001709
1522175423.1189039,1,3.0059914588928223
1522177791.4850564,2,2.790834665298462
1522180142.5146358,3,2.6638593673706055
1522182490.847929,4,2.584526777267456
1522184838.6231935,5,2.5388522148132324
1522187250.7404053,6,2.493201494216919
1522189726.647734,7,2.451573371887207
1522191952.6376462,8,2.4223127365112305
1522194142.9737148,9,2.408280611038208
1522196350.213922,10,2.3946409225463867
1522198550.3892694,11,2.383898973464966
1522200723.1825962,12,2.380286931991577
