Wall time,Step,Value
1521987694.559391,0,3.6610312461853027
1521990205.1559598,1,3.1398892402648926
1521992704.6338158,2,3.003248691558838
1521995195.6138365,3,2.93137264251709
1521997721.3362465,4,2.879591703414917
1522000240.2903843,5,2.8460774421691895
1522002765.000367,6,2.8208327293395996
1522005284.2134535,7,2.7984604835510254
1522007898.3300846,8,2.780550718307495
1522010452.9372609,9,2.765942096710205
1522012982.6606321,10,2.7646901607513428
1522015526.564998,11,2.7644429206848145
1522018173.4608014,12,2.7783451080322266
1522020801.1869721,13,2.7801523208618164
